,Total,East,West
00:00:00,16.66260162601626,6.9498644986449865,9.712737127371273
01:00:00,9.669376693766937,4.306233062330623,5.363143631436315
02:00:00,6.270491803278689,2.935792349726776,3.3346994535519126
03:00:00,3.6219512195121952,1.8319783197831978,1.7899728997289972
04:00:00,4.024390243902439,1.6558265582655827,2.368563685636856
05:00:00,7.540650406504065,4.078590785907859,3.462059620596206
06:00:00,17.372628726287264,8.22628726287263,9.146341463414634
07:00:00,33.0420054200542,17.241192411924118,15.800813008130081
08:00:00,61.109756097560975,32.21409214092141,28.895663956639567
09:00:00,82.90108401084011,43.636856368563684,39.264227642276424
10:00:00,100.42005420054201,53.73848238482385,46.68157181571816
11:00:00,120.64092140921409,62.96341463414634,57.67750677506775
12:00:00,132.88888888888889,68.87940379403794,64.00948509485094
13:00:00,139.47967479674796,71.5609756097561,67.91869918699187
14:00:00,141.3780487804878,72.64769647696477,68.73035230352303
15:00:00,139.35772357723576,71.29539295392954,68.06233062330624
16:00:00,129.3252032520325,65.90243902439025,63.422764227642276
17:00:00,108.36856368563686,54.636856368563684,53.73170731707317
18:00:00,84.20325203252033,42.735772357723576,41.46747967479675
19:00:00,56.926829268292686,28.17750677506775,28.74932249322493
20:00:00,41.90243902439025,19.89159891598916,22.010840108401084
21:00:00,29.880758807588077,13.955284552845528,15.925474254742548
22:00:00,22.68970189701897,10.210027100271002,12.479674796747968
23:00:00,17.995934959349594,7.432249322493225,10.563685636856368
